name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Temple Run 2,Action,Imangi Studios,"100,000,000 - 500,000,000",3 January 2017,Rated for 7+,4.3,5 (4.1 - 5.0)
slither.io,Action,Lowtech Studios,"100,000,000 - 500,000,000",5 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Temple Run 2,Action,Imangi Studios,"100,000,000 - 500,000,000",3 January 2017,Rated for 7+,4.3,5 (4.1 - 5.0)
slither.io,Action,Lowtech Studios,"100,000,000 - 500,000,000",5 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Water Slide 3D,Action,Words Mobile,"10,000,000 - 50,000,000",4 January 2017,Rated for 3+,4.0,4 (3.1 - 4.0)
Bus Rush,Action,Play365,"50,000,000 - 100,000,000",4 January 2017,Rated for 3+,4.0,4 (3.1 - 4.0)
Talking Tom Gold Run,Action,Outfit7,"50,000,000 - 100,000,000",11 January 2017,Rated for 3+,4.5,5 (4.1 - 5.0)
Banana Kong,Action,FDG Entertainment GmbH & Co.KG,"50,000,000 - 100,000,000",18 April 2016,Rated for 7+,4.4,5 (4.1 - 5.0)
Shadow Fight 2,Action,NEKKI,"100,000,000 - 500,000,000",2 December 2016,Rated for 12+,4.6,5 (4.1 - 5.0)
Temple Endless Run 2,Action,XsRising Studios,"1,000,000 - 5,000,000",18 October 2016,Rated for 7+,3.9,4 (3.1 - 4.0)
Suicide Squad: Special Ops,Action,Warner Bros. International Enterprises,"10,000,000 - 50,000,000",12 August 2016,Rated for 16+,4.3,5 (4.1 - 5.0)
Mountain Sniper Shooting 3D,Action,SKIPPY APPS PTY LTD,"10,000,000 - 50,000,000",29 November 2016,Rated for 16+,3.7,4 (3.1 - 4.0)
Elite Killer: SWAT,Action,CanadaDroid,"10,000,000 - 50,000,000",27 June 2016,Rated for 16+,4.2,5 (4.1 - 5.0)
Flip Water Bottle,Action,Candy Mobile,"5,000,000 - 10,000,000",1 November 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
PEPI Bike 3D,Action,Foose Games,"10,000,000 - 50,000,000",4 January 2017,Rated for 3+,3.7,4 (3.1 - 4.0)
Gun Shoot War,Action,WAWOO Studio,"10,000,000 - 50,000,000",13 January 2017,Rated for 16+,4.0,4 (3.1 - 4.0)
Krrish 3: The Game,Action,Vroovy,"10,000,000 - 50,000,000",20 November 2014,Rated for 16+,4.1,5 (4.1 - 5.0)
Grand Gangsters 3D,Action,Doodle Mobile Ltd.,"10,000,000 - 50,000,000",1 September 2016,Rated for 18+,4.1,5 (4.1 - 5.0)
Strawberry Shortcake BerryRush,Action,Miniclip.com,"10,000,000 - 50,000,000",27 September 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Temple Run,Arcade,Imangi Studios,"100,000,000 - 500,000,000",27 October 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Swamp Attack,Action,Outfit7,"50,000,000 - 100,000,000",26 October 2016,Rated for 7+,4.4,5 (4.1 - 5.0)
Bomber Friends,Action,Hyperkani,"10,000,000 - 50,000,000",21 December 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Lara Croft: Relic Run,Action,SQUARE ENIX Ltd,"10,000,000 - 50,000,000",16 June 2016,Rated for 12+,4.2,5 (4.1 - 5.0)
Crossy Road,Action,Yodo1 Games,"50,000,000 - 100,000,000",14 December 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
My Talking Hank,Casual,Outfit7,"5,000,000 - 10,000,000",23 December 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
My Talking Tom,Casual,Outfit7,"100,000,000 - 500,000,000",20 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Talking Tom Cat 2,Entertainment,Outfit7,"100,000,000 - 500,000,000",28 July 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
My Talking Angela,Casual,Outfit7,"100,000,000 - 500,000,000",14 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Talking Tom Cat,Entertainment,Outfit7,"100,000,000 - 500,000,000",1 December 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Talking Tom Bubble Shooter,Casual,Outfit7,"10,000,000 - 50,000,000",26 October 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Talking Angela,Entertainment,Outfit7,"100,000,000 - 500,000,000",8 March 2016,Rated for 3+,3.7,4 (3.1 - 4.0)
Tom Loves Angela,Entertainment,Outfit7,"50,000,000 - 100,000,000",27 March 2015,Rated for 3+,4.1,5 (4.1 - 5.0)
Talking Tom Jetski,Casual,Outfit7,"10,000,000 - 50,000,000",18 March 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Talking Ginger,Entertainment,Outfit7,"100,000,000 - 500,000,000",30 October 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Talking Ginger 2,Entertainment,Outfit7,"50,000,000 - 100,000,000",12 January 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Talking Tom & Ben News,Entertainment,Outfit7,"50,000,000 - 100,000,000",30 April 2015,Rated for 3+,4.3,5 (4.1 - 5.0)
Talking Ben the Dog,Entertainment,Outfit7,"100,000,000 - 500,000,000",12 August 2015,Rated for 3+,4.3,5 (4.1 - 5.0)
Tom's Love Letters,Entertainment,Outfit7,"50,000,000 - 100,000,000",30 January 2015,Rated for 3+,4.1,5 (4.1 - 5.0)
Talking Pierre the Parrot,Entertainment,Outfit7,"50,000,000 - 100,000,000",9 June 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Gunship Strike 3D,Action,Candy Mobile,"10,000,000 - 50,000,000",12 January 2017,Rated for 16+,4.2,5 (4.1 - 5.0)
Bike Racing 3D,Racing,Words Mobile,"50,000,000 - 100,000,000",15 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Gun Simulator,Action,Words Mobile,"5,000,000 - 10,000,000",3 January 2016,Rated for 3+,4.2,5 (4.1 - 5.0)
Amazing Run 3D,Sports,Words Mobile,"10,000,000 - 50,000,000",7 September 2016,Rated for 7+,3.9,4 (3.1 - 4.0)
Army Sniper,Adventure,Words Mobile,"10,000,000 - 50,000,000",21 November 2013,Rated for 16+,3.9,4 (3.1 - 4.0)
Jewels Saga,Arcade,Words Mobile,"10,000,000 - 50,000,000",21 November 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Golf 3D,Sports,Words Mobile,"10,000,000 - 50,000,000",7 April 2015,Rated for 3+,3.8,4 (3.1 - 4.0)
Cooking Tycoon,Casual,Words Mobile,"1,000,000 - 5,000,000",17 August 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Mortal Blade 3D,Action,Words Mobile,"100,000 - 500,000",23 November 2016,Rated for 16+,4.3,5 (4.1 - 5.0)
100 Candy Balls 3D,Casual,Words Mobile,"1,000,000 - 5,000,000",16 June 2014,Rated for 3+,3.8,4 (3.1 - 4.0)
Reckless Moto Rider,Adventure,Words Mobile,"10,000,000 - 50,000,000",25 November 2013,Rated for 16+,4.2,5 (4.1 - 5.0)
Zombie Overkill 3D,Action,Words Mobile,"1,000,000 - 5,000,000",13 June 2016,Rated for 16+,4.1,5 (4.1 - 5.0)
Air Hockey Deluxe,Sports,Words Mobile,"10,000,000 - 50,000,000",11 August 2016,Rated for 3+,4.0,4 (3.1 - 4.0)
